,author_id,mentions
0,1545048155707740161,"BTW -- to @twitterdev -- is there an API for Notes? This is a crucial question. If yes, then devs will be able to hook great editorial tools to Twitter in ways no one has been able to do before. It will open so many doors not just for Twitter, but for the entire net."
1,1545045667348762624,"I haven't been able to get the twitter OG card validator tool to work for a few days. I keep getting 403s when I submit URLs:

https://t.co/CJPL6zjfmE

@TwitterDev / @i_am_daniele  any chances this a known bug?"
2,1545024540039954432,@Mr_DannySingh @TwitterSpaces @curateSpaces @TwitterDev Wait. I updated and it still says version 9.49.0 for Android. Any ideas why?
3,1544993874531303424,"Very excited to welcome @stephinami to the @TwitterDev team, and connect further with our amazing community of developers in Japan and beyond! ğŸŒ¸ https://t.co/XtHRqst4mY"
4,1544964969736945664,@CaptionClerk @NathanThinks @hbeckpdx @TwitterSupport @TwitterDev @TwitterA11y Brilliant!
5,1544851464228466688,"Hey @TwitterDev - if I am viewing a tweet that is currently getting a lot of replies, why does it jump around and change my spot when scrolling? On iOS mobile app fwiw"
6,1544841011805016064,"I set up OAuth2 with the PKCE flow for the Twitter API, but does anyone know how often I have to refresh the access tokens? The docs said something about them not expiring, but that doesn't seem to be the case. @TwitterDev"
7,1544835526909259778,"#GitHub Copilot works so well because it steals open-source code and strips credit https://t.co/JFBGeY5DZt
via @thenextweb cc: @_andrewlyons 
@TwitterDev @TwitterAPI 
With this information is it possible to reconsider posting the full code for #Chirp to Github in Nov?"
8,1544794767573254149,"Are you joining us this Saturday at the first ever Twitter Dev Community Meetup in Accra? 

Connect, learn and share with likeminded people from the Ghana Twitter Community. @TwitterGhana @TwitterDev @TwitterMktg @hacklabfdn @SBIncubatorGH https://t.co/hOkptBVIGV"
9,1544792957131292683,@TwitterDev Long press heart icon on iOS to bookmark when? Would be so useful.
10,1544772690480881665,"@CaptionClerk @NathanThinks @TwitterSupport @TwitterDev Went from ""some expectations left"" to ""no expectations at all""... I'm starting to understand that i'm at the wrong end of this bargain :P"
11,1544772144982380546,"@Mr_DannySingh @TwitterSpaces @curateSpaces @TwitterDev Thanks for reminder to update tho. I DO have one pending and was on 9.49.0
at the time when cohost add functionality was broken. 

#BetaTester #Android
#Samsung @TwitterSpaces https://t.co/oVdyfkS27x"
12,1544769986240995328,@IgorBrigadir @TwitterDev You're quick wit it haha ğŸ˜‰
13,1544759394294013954,@Timothy_Ovie @TwitterDev @skysenxhub ğŸ¥³ğŸ¥³ğŸ¥³
14,1544740098083897344,"@RealSwimburger @TwitterDev Their tweet is gone, but they used sprinklr to send it."
15,1544739537238253568,@J_aa_p @TwitterDev Test test!
16,1544738024629714945,@TwitterDev Just worked in the app in the website via PC is down
17,1544737937493233666,"@TwitterDev Damn, i can't log in from PC"
18,1544737719741448194,@TwitterDev https://t.co/2xC7CSdhoL
19,1544737580242984960,@TwitterDev It works!
20,1544737566351671300,"@TwitterDev You break it, you buy it! @TwitterDev"
21,1544737432150708226,@TwitterDev Help.
22,1544737251099168768,@TwitterDev confirming receipt
23,1544736964200787968,.@TwitterDev It works ğŸ™Œ ğŸ«£ https://t.co/7F2owoke0b
24,1544736730401619976,@TwitterDev https://t.co/Y5mwKN66O9
25,1544736723472613376,@RealSwimburger @TwitterDev They're testing https://t.co/wnVOmLWf9P ?
26,1544736660423774208,@TwitterDev testing before Musk takes over and everyone dips on this site like we did on Digg?
27,1544736601297027073,@TwitterDev Hello check!âœ…
28,1544736574507720705,@vijethx @TwitterDev It just happened to me too on Twitter lite app
29,1544736546800156672,@TwitterDev test123 âœ…
30,1544736448645152772,@TwitterDev Working!
31,1544736426134323200,@TwitterDev It works
32,1544736243899977728,@TwitterDev Any idea why i got logged out of twitter web?
33,1544736239701606403,@TwitterDev test
34,1544736181459501057,@TwitterDev test2
35,1544736162018983938,@TwitterDev Be a liiittle more declarative ğŸ˜…
36,1544736132763512833,@TwitterDev What test are you doing?
37,1544736123586547714,@TwitterDev I've seen this one before ğŸ¤”
38,1544736046625292289,@TwitterDev no
39,1544736038593220609,@TwitterDev it worked i think
40,1544734127039344642,"Hi @elonmusk @TwitterDev @TwitterSupport 
I found some issue. https://t.co/4zmx1QDfWb"
41,1544703375966601219,@hacklabfdn @TwitterGhana @TwitterDev @Twitter @rhikis_
42,1544643742589747202,"@_code_redex @Wisdomjomo @ajukadavid @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev ğŸ˜¹ğŸ˜¹ğŸ˜¹ğŸ˜¹
I'm also surprised bro"
43,1544627658356670464,@_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev How much did you get your timer
44,1544607419451547649,@ajukadavid @iigudy @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev How much does this setup cost? I like it
45,1544605027574190081,@ajukadavid @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Nice oneğŸ”¥ğŸ”¥
46,1544604992396484608,@SkimaSax @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Mad setup ğŸ”¥ğŸ”¥ğŸ”¥
47,1544601728825413632,"@_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Agba dev, I understand the feelingğŸ˜¹"
48,1544528542041620481,"@Twitter @TwitterDev 
@TwitterSafety @paraga https://t.co/NC6FxGbLQb"
49,1544449068201656326,@Google #translate @TwitterDev @Twitter ha ha ha ha ğŸ˜ğŸ˜ https://t.co/3kx9Fjalmz
50,1544382214292574209,I am failing to use OAuth 2.0 on Twitter API 2.0 https://t.co/nTXZwq6s5l @TwitterDev
51,1544370668585701376,"@TwitterDev @Twitter Consider I'm on mobile app, and there's an ad/video running on my screen, at the same time when I open an ongoing space, I can listen to the audio of space and the ad. 
I guess ad should be muted automatically?"
52,1544364262767833088,"@VeldaKiara @TwitterDev @2006legend Glad you like it! 

And thank you for participating in the Insider program!

https://t.co/ss1y3j9s2C"
53,1544289145207619585,"So what can I do ? The Verification is there to tell people yes it's the real person and not a fake or fan account. And someone who has a Wikipedia Page should be verified to avoid confusion 

CC @damienviel @TwitterFrance @Twitter @TwitterDev"
54,1544242771485237248,"hey @twitterdev what's going on the ""retweeted/Retweeted"" thing?

all of those should be lower cases

see screenshot https://t.co/iux9uzYzRx"
55,1544231539554533377,"@Sumit_Sangwan20 @TwitterIndia @Twitter @TwitterSupport dear @TwitterIndia @Twitter @verified @TwitterDev please resolve the matter, thank you."
56,1544225899859558400,@__laitan_ @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev AmenğŸ™ğŸ’ª
57,1544207438450401280,"@TwitterDev @suhemparack @blackgirlbytes For i saw a platform can search twitter users with user data analysis shown, such as follower and following, age, gender, active time and so on. I'm wondering if you could tell me where you get your source. Looking forward to your reply. I would appreciate it."
58,1544207277619822592,"@TwitterDev FFor i saw a platform can search twitter users with user data analysis shown, such as follower and following, age, gender, active time and so on. I'm wondering if you could tell me where you get your source. Looking forward to your reply. I would appreciate it."
59,1544139599299198977,"@will_ye_ @da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter AFAIK, the thread feature is integrated into Twitterâ€”that's why it is possible to create a thread when creating a new tweet, I think.

If I got that wrong, kindly point me to some reference material on the internet. https://t.co/3dt2Z6mDig"
60,1544138904152014848,"@will_ye_ @da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter Thanks for your perspective on this issue. Greatly appreciated.

I'm unaware of the backstory of threads not being an official Twitter feature.

Thread ğŸ§µ https://t.co/UL09an8Mb6"
61,1544053754655293440,"@DevMashood @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @TwitterDev Alright man, we're waiting"
62,1544045149625454592,"These stackable food containers are going to be great for camping trips when I'm away in my van with the kids.

Thanks @Twitter and @TwitterDev! https://t.co/HPJbbvtv4H"
63,1543985101859602433,@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter Thanks @da_ben_dan ğŸ¾ https://t.co/mdUmffF6mJ
64,1543984027304067077,@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter I had to drop this in. https://t.co/gBRi7YYxZ4
65,1543982990732271616,"@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter It does work.

Iâ€™ll probably have to use this way even though it causes friction for me as a user. https://t.co/qwlPx9way3"
66,1543982522543095808,@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter It works but itâ€™s a little counterintuitive. https://t.co/bL6Xuk8UId
67,1543981949450178560,"@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter Enjoyed this?

Consider buying this #creator some coffee:
https://t.co/AInV2HSuBl"
68,1543981477372772352,"@da_ben_dan @ChrisJBakke @TwitterDev @TwitterSupport @Twitter Chaining multiple tweets by replying to each is counterintuitive, and it proffers an awful user experience.

@TwitterDev @TwitterSupport  @Twitter 

The other way of achieving this is by creating a separate tweet and dropping that as a reply. https://t.co/RN7XKZtIe9"
69,1543980866979958785,@RedX_13 @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Yesssirrr
70,1543980614906421249,"@da_ben_dan @ChrisJBakke Technically, from my understanding, a thread consists of multiple tweets inside a parent thread.

Maybe I'm wrong, or am I? @TwitterDev @TwitterSupport @Twitter

What's the right way to create a thread inside another tweetâ€”think reply? https://t.co/kBbSHR24Ta"
71,1543948078054576130,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev ğŸ˜¹ğŸ˜¹ğŸ˜¹ğŸ˜¹ hello world na something
72,1543924820395581440,@thetechrat @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I'm loyal
73,1543923968746438656,@iigudy @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My Oga https://t.co/ZTIgt5IlSr
74,1543916525337419776,"DHL dropped off this surprise package from @Twitter / @TwitterDev earlier.

A bag, containers, and cutlery. This will be useful for days trips with the little one.

Thankyou! https://t.co/HrpkQlJP36"
75,1543903748904390659,@VeldaKiara @TwitterDev @LeBraat @2006legend ğŸ¥¹ğŸ¥¹ğŸ¥¹ğŸ¥¹ğŸ¥¹
76,1543901758220558336,"@VeldaKiara @TwitterDev @LeBraat @2006legend ğŸ¥³ğŸ¥³ğŸ¥³ğŸ’« Eiiish ğŸ˜, âœ¨"
77,1543890630480379907,"@VeldaKiara @TwitterDev @LeBraat @2006legend Aawwww ğŸ”¥ğŸ”¥ You deserve this Velda ğŸ¤©
Sasa uanze kukula lunch Site ğŸ˜‚ğŸ˜‚ wachana na wengine wetu ğŸ˜‚ğŸ˜‚"
78,1543890375198269440,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev You're my boss here oğŸ™ŒğŸ™Œ
79,1543889208938340352,"BOARD OF FRIENDS GET TOGETHER 
JULY SESSIONS 2022
PROGRAMME  INVITATION 
To    @TwitterBusiness    @Policy  @TwitterMoments    @TwitterCreate     @TwitterCreators    @TwitterDev
@TwitterMovies
 @TwitterAsians     @TwitterAble @jack https://t.co/4IGagom4If"
80,1543881654095183873,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My motivator ğŸ™ŒğŸ™Œ
81,1543877768613695488,"Surprise from @TwitterDev  ğŸ˜œğŸ˜‹

Lunch just got a little bit more interesting 

Thanks @LeBraat and @2006legend 

#BuildWhatsNextğŸš€ https://t.co/2QEsvabsVU"
82,1543874844785360897,@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Alright
83,1543872865891749888,@EdetEmm02234938 @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Our time will come ğŸ¤²ğŸ½
84,1543870674007195648,@followkenzy @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I loyal
85,1543870644730871809,"@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I no say setup boss, I say codeğŸ˜¹"
86,1543862802091319296,"@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My boss, drop yours ğŸ¤²ğŸ½"
87,1543660923033976833,"ğŸ¦ #Chirp Developer Conference
https://t.co/xOxR4i4n6M
v/ @TwitterDev

ğŸ“…Nov 16

#developer #programmer #development #Software #Engineering #engineers #coder #100DaysOfCode #DEVCommunity #DevOps #programming #coding #API #webdev #FrontEnd #Python #STEM #WomenWhoCode #GirlsWhoCode https://t.co/eaj5LY7dYo https://t.co/4bi7cazZ3g"
88,1543643515002953730,"@GymcrashGames @TwitterDev this made me laugh, nice one - true! we should have thought of that! You could always *submit* something with that name, of course... ;-)"
89,1543201125985386497,Twitter should work on pinning at least 3 tweets on TL. @Twitter @TwitterDev
90,1543198413407551491,@TwitterDev Is there any recording to re-visit the session please ?
91,1543160858699632641,@TwitterDev @suhemparack @blackgirlbytes yessss! be there or be square @TwitterDev @Twitter @elonmusk
92,1543154154402725889,"Requesting the mic in a space, I'm not being seen! @TwitterSupport why is that??
@Twitter 
@TwitterDev https://t.co/bIkD5fXkF9"
93,1543145014737379328,"@Twitter @TwitterSupport @TwitterDev @damienviel @paraga Thanks my friend for have answer message. Indeed you hold them by the balls legally, whether in relation to their TOS of @twitter than physically and morally. hahaha they are completely KO. they should have listened to you. https://t.co/ntCA3oPztb"
94,1543093937228890113,"Hi @TwitterSafety why did you decide to take away the option to report someone for using REPLY to Spam. I do not see it in latest Report function.

It happens a lot, actually.
#Feedback #spam @TwitterDev @TwitterEng"
95,1543079333719310336,@TwitterSupport @paraga @Twitter @TwitterFrance @TwitterDev @elonmusk Les gens devraient tÃ©lÃ©charger le TOS et Ã©tudier cela pour savoir quâ€™ils ne absolument pas en sÃ©curitÃ© et que le CGU @Twitter est bourrÃ© dâ€™incohÃ©rences et de failles exploitables juridiquement https://t.co/hgPuv7FW4v
96,1542982739133169667,@Fransunisoft @TwitterDev Thank you!!!
97,1542980049405632514,@ashevat @TwitterDev ğŸ¥¹ğŸ¥¹
98,1542971468048465920,OkoÅ‚o godz. 12.30 doszÅ‚o do poÅ¼aru Å›mieci na jednym z balkonÃ³w budynku przy ul. GÅ‚owackiego. https://t.co/4csBPc1dBY #example # demo przez @twitterdev
